Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2043,Europe & Central Asia,0.026953377504250222,0.01306112401853921,0.04084563098996123,0.17139667999518837,0.1303135397665919,0.21247982022378487
2044,Europe & Central Asia,0.02887119550846256,0.014444549082807658,0.04329784193411746,0.20026787550365094,0.15672533839184058,0.2438104126154613
2045,Europe & Central Asia,0.030637268317995417,0.01585703329236568,0.04541750334362516,0.23090514382164637,0.1849224526700159,0.27688783497327685
2046,Europe & Central Asia,0.033360231816796926,0.018158421950742753,0.04856204168285111,0.26426537563844327,0.21583498323088687,0.3126957680459997
2047,Europe & Central Asia,0.035029306839198845,0.01931295598293679,0.05074565769546089,0.2992946824776421,0.2483780192622759,0.3502113456930083
2048,Europe & Central Asia,0.03660189352070139,0.020540017240229216,0.05266376980117355,0.33589657599834355,0.2825065913323388,0.38928656066434825
2049,Europe & Central Asia,0.03815236766297121,0.02170312556789253,0.054601609758049896,0.37404894366131475,0.3181824239188184,0.42991546340381104
2050,Europe & Central Asia,0.0397368747871512,0.022692512187829392,0.056781237386473,0.41378581844846596,0.3553771005670068,0.47219453632992514
2051,Europe & Central Asia,0.04122314407814991,0.023738120324777772,0.058708167831522065,0.4550089625266159,0.3940392620171671,0.5159786630360647
2052,Europe & Central Asia,0.04267081704596809,0.0247345464905499,0.060607087601386285,0.49767977957258397,0.43412654061775935,0.5612330185274086
2053,Europe & Central Asia,0.044148181865321275,0.02557047726522146,0.06272588646542109,0.5418279614379052,0.47561508285784637,0.608040840017964
2054,Europe & Central Asia,0.045542343418627285,0.026476136803919196,0.06460855003333538,0.5873703048565324,0.518466999242561,0.6562736104705039
2055,Europe & Central Asia,0.046896405861667746,0.027402845151753133,0.06638996657158236,0.6342667107182002,0.5626589986078173,0.7058744228285831
2056,Europe & Central Asia,0.050664998675531175,0.02759995932618807,0.07373003802487428,0.6849317093937314,0.6097009944305581,0.7601624243569046
2057,Europe & Central Asia,0.05191613747261154,0.028647037074726114,0.07518523787049695,0.7368478468663429,0.6581007103647716,0.8155949833679143
